2026-03-20 06:22:16.896 INFO  [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-20 06:22:17.126 INFO  [main] com.economydict.EconomyDictApplication - Starting EconomyDictApplication v0.0.1-SNAPSHOT using Java 17.0.18 with PID 1 (/app/app.jar started by root in /app)
2026-03-20 06:22:17.127 INFO  [main] com.economydict.EconomyDictApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-20 06:22:19.169 INFO  [main] org.springframework.batch.core.configuration.annotation.BatchRegistrar - Finished Spring Batch infrastructure beans configuration in 4 ms.
2026-03-20 06:22:19.468 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-20 06:22:19.662 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 187 ms. Found 14 JPA repository interfaces.
2026-03-20 06:22:20.312 WARN  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jobRegistry' of type [org.springframework.batch.core.configuration.support.MapJobRegistry] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [jobRegistryBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2026-03-20 06:22:21.163 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-03-20 06:22:21.189 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-03-20 06:22:21.194 INFO  [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-20 06:22:21.195 INFO  [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-03-20 06:22:21.294 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-20 06:22:21.295 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4027 ms
2026-03-20 06:22:21.558 INFO  [main] org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-20 06:22:21.680 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-20 06:22:21.731 INFO  [main] org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-20 06:22:22.061 INFO  [main] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-20 06:22:22.101 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-20 06:22:22.311 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@12a6e8ed
2026-03-20 06:22:22.314 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-20 06:22:24.242 INFO  [main] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-20 06:22:24.663 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-20 06:22:26.195 INFO  [main] org.springframework.batch.core.repository.support.JobRepositoryFactoryBean - No database type set, using meta data indicating: POSTGRES
2026-03-20 06:22:26.226 INFO  [main] org.springframework.batch.core.launch.support.SimpleJobLauncher - No TaskExecutor has been set, defaulting to synchronous executor.
2026-03-20 06:22:26.321 WARN  [main] org.springframework.batch.core.listener.AbstractListenerFactoryBean - org.springframework.batch.item.ItemReader is an interface. The implementing class will not be queried for annotation based listener configurations. If using @StepScope on a @Bean method, be sure to return the implementing class so listener annotations can be used.
2026-03-20 06:22:26.346 INFO  [main] org.springframework.batch.core.configuration.annotation.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-03-20 06:22:26.386 INFO  [main] org.springframework.batch.core.configuration.annotation.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-03-20 06:22:26.480 INFO  [main] org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-03-20 06:22:27.180 WARN  [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-20 06:22:27.522 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5af6378e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@205b3a1a, org.springframework.security.web.context.SecurityContextHolderFilter@441eae0b, org.springframework.security.web.header.HeaderWriterFilter@45a33515, org.springframework.web.filter.CorsFilter@447f9a09, org.springframework.security.web.authentication.logout.LogoutFilter@45bedfed, com.economydict.config.JwtAuthenticationFilter@32f8a37b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1388c465, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@48d1f239, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@eba003e, org.springframework.security.web.session.SessionManagementFilter@7d33e32b, org.springframework.security.web.access.ExceptionTranslationFilter@22a7d2f2, org.springframework.security.web.access.intercept.AuthorizationFilter@61f990b]
2026-03-20 06:22:27.813 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-03-20 06:22:27.832 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-03-20 06:22:27.861 INFO  [main] com.economydict.EconomyDictApplication - Started EconomyDictApplication in 12.181 seconds (process running for 13.826)
2026-03-20 06:22:31.328 INFO  [http-nio-8081-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
